date,userName,review,rating,review_classification,review_category
2023-08-04 05:34:52,Zephyrus1291,"Since mid-July the mobile app for iOS cannot give proper login to its users. Whenever I signed in, it always reroutes to the web page security confirmation requesting me to open the app for confirming it's me to login. Either that or, requesting me to input a captcha and confirmed that I have completed it, only to say that the captcha was incorrect. OR, the login in the app rerouted into a browser login page with unsymetric screen size. What in the hell have you guys been doing with the app? Might as well just delete this app if you are not willing to do anything anyway. Smfh",1,dissatisfied,usability_user_experience
2023-08-03 03:55:42,Kuncoro87,"Can't type any words, please fix it",1,dissatisfied,uncategorized
2023-07-31 10:06:54,Indahagustinaaa,"Aplikasi nya bagus, saat ada kendala respon mimin nya juga cepet baget. Keren✨",5,satisfied,uncategorized
2023-07-29 12:27:21,umr100000,"Pleas linkedin help.
My account is temporarily restricted, I have verified it using an identity card according to the instructions, but why is the process taking so long until now my account cannot be used and there is no clarity, I am very disappointed because I built my LinkedIn account from zero to almost professional but LinkedIn no clarity",1,dissatisfied,customer_support_communication
2023-07-27 14:31:14,joko wibowo,"dear linkedin
linkedin version 9.1.235 cannot upload document  from file on ios 15.7.8 iphone 6s. please fix it",1,dissatisfied,uncategorized
2023-07-26 23:22:19,ryankoto,What the hack your application can’t login btw,1,dissatisfied,usability_user_experience
2023-07-25 14:41:27,wididiw15,Capta correct but always load again and again,3,undetermined,uncategorized
2023-07-22 05:12:09,1ndrax,"With the latest version 9.1.324 on my iPhone XS Max I still cannot login after trying captcha verification, below the picture said that I am a human, but on top there is message “Your noCAPTCHA user response code is missing or invalid.” Please fix it!",1,dissatisfied,usability_user_experience
2023-07-21 00:42:18,whvtever00,I have been stuck for “Access to you account has been temporarily restricted” for over 2 weeks! Linkedin don’t have the customer services.. its all just a template of the frequently asked questions.. even when i sent an email it took them like forever and still like chat with a bot. after all this time there is no solution for my problem.,1,dissatisfied,customer_support_communication
2023-07-11 09:05:47,Stfukk,"keep asking to enter nickname while there’s no space for nickname available

Ending up with recovery account
But it create a new account instead of recovering it
I lost all of my jobs onformation 
Useless",1,dissatisfied,uncategorized
2023-07-07 06:07:00,Andi Ahmad pasanrangi,Sangat bagus dan mempermudah untuk mencari pekerjaan,5,satisfied,uncategorized
2023-07-01 20:44:51,minji22072000,rate limit exceeded? a big joke,1,dissatisfied,uncategorized
2023-06-27 11:29:43,BrianPratamaPutra,Nice & Recomended,5,satisfied,uncategorized
2023-06-21 09:41:21,kieran_yusnie,Nice & Recommended,5,satisfied,general_satisfaction_recommendation
2023-06-07 04:32:55,Yoppi.R,"Halo, kenapa saya tidak bisa mengedit profil dan pengalaman kerja saya?
Sudah di coba beberapa kali tetap yang muncul refresh halaman",2,dissatisfied,uncategorized
2023-05-31 19:19:47,Alfie Ramadhan,I can’t upload a video on my post! Help!,4,satisfied,customer_support_communication
2023-05-29 11:30:08,sherlydafitria,Bad app ever! I can’t post job posts. Very bad.,1,dissatisfied,uncategorized
2023-05-24 06:30:01,Rahmat Kristanto,CAN’T LOGIN BECAUSE THIS STUPID CAPTCHA ALWAYS WRONG!!! PLEASE FIX LA STUPID!,1,dissatisfied,usability_user_experience
2022-09-30 16:28:52,ydidar,"verifikasinya ribet,, 👎",1,dissatisfied,uncategorized
2022-09-17 10:49:48,dumbpotatoo,"I’m having trouble with the security sign up, always fails near success login",2,dissatisfied,usability_user_experience
2021-09-02 02:00:58,luqmanharies,Soo I must buy new iphone to acces new update in my phone?,1,dissatisfied,uncategorized
2021-08-25 09:12:50,agsjsidjd,"Kecewa sekali, verifikasi login sangat sulit sudah coba berkali kali pilih gambar yg memghadap ke atas namun selalu salah. Mempersulit pengguna",1,dissatisfied,usability_user_experience
2020-11-05 03:33:25,falderont,"I love the new ui design, but it would better if there is a dark mode.",5,satisfied,usability_user_experience
2020-10-28 04:00:49,pelanggankecewaaaaaaa,"Come on linkedin, its useless to have story inside linkedin",1,dissatisfied,features_functionality
2019-05-06 12:59:45,Ayu bayu,"I've been using this app since many year but now I can't login to my account, I have tried so many times and it's not working.
The user name and password are correct but it's doesn't work out.",1,dissatisfied,usability_user_experience
2019-01-22 01:05:11,whitecirrus,"when I send the notes with personalize invite features, I couldn’t see my notes after  I see them on ‘sent’ (in my connection). Also there’s no tab that I can go to back to home/connection/message in the footbar, when I saw the profile of linkediners.",3,undetermined,features_functionality
2018-12-31 10:30:47,lansbrahmantyo,"The user interface & graphics could be made more fluid & more Apple-like. It is very stiff, feeling like a Blackberry app. And accessing Photo Albums (within Photos) is painfully slow!!!",3,undetermined,usability_user_experience
2018-11-20 05:29:27,fyason,Good but better if able to download video from Linkedin app in iPhone. And please kindly filter the fake account that able to do scams/fraud.,4,satisfied,features_functionality
2018-11-15 04:35:58,LightingSon,Can you hide update notification for uncompatible phone ?,3,undetermined,uncategorized
2017-11-17 16:23:46,Athinov,I love it,5,satisfied,general_satisfaction_recommendation
2017-09-15 22:57:57,Juniantosalim,So far it is the best application for professional social media and job seeker #1,5,satisfied,general_satisfaction_recommendation
